dataset,split,video_id,rel_path,label_video,generator,source_face,ext
CelebDF-v2,train,789c4f9a18af37e4,video-data/celebdf_v2/Celeb-real/id0_0000.mp4,real,,celebdf,mp4
CelebDF-v2,test,1abd98324f443657,video-data/celebdf_v2/Celeb-real/id0_0001.mp4,real,,celebdf,mp4
CelebDF-v2,train,d10d8602f0f951d3,video-data/celebdf_v2/Celeb-real/id0_0002.mp4,real,,celebdf,mp4
CelebDF-v2,train,129551ff8237753f,video-data/celebdf_v2/Celeb-real/id0_0003.mp4,real,,celebdf,mp4
CelebDF-v2,train,f58f5c6b9f99bcfe,video-data/celebdf_v2/Celeb-real/id0_0004.mp4,real,,celebdf,mp4
CelebDF-v2,train,b21311c3b4d5e592,video-data/celebdf_v2/Celeb-real/id0_0005.mp4,real,,celebdf,mp4
CelebDF-v2,train,f3244e11c831c9c8,video-data/celebdf_v2/Celeb-real/id0_0006.mp4,real,,celebdf,mp4
CelebDF-v2,train,fd1b3a350a123757,video-data/celebdf_v2/Celeb-real/id0_0007.mp4,real,,celebdf,mp4
CelebDF-v2,train,770a024d2a8eaf31,video-data/celebdf_v2/Celeb-real/id0_0008.mp4,real,,celebdf,mp4
CelebDF-v2,train,e64bd5d40d0e5177,video-data/celebdf_v2/Celeb-real/id0_0009.mp4,real,,celebdf,mp4
CelebDF-v2,train,6c41fb3603739e14,video-data/celebdf_v2/Celeb-real/id10_0000.mp4,real,,celebdf,mp4
CelebDF-v2,test,1c2c4b27320a9053,video-data/celebdf_v2/Celeb-real/id10_0001.mp4,real,,celebdf,mp4
CelebDF-v2,train,818d13510b2cccf4,video-data/celebdf_v2/Celeb-real/id10_0002.mp4,real,,celebdf,mp4
CelebDF-v2,train,b51db032036ab09d,video-data/celebdf_v2/Celeb-real/id10_0003.mp4,real,,celebdf,mp4
CelebDF-v2,train,7be3d3036242c0bb,video-data/celebdf_v2/Celeb-real/id10_0004.mp4,real,,celebdf,mp4
CelebDF-v2,train,6a264692457ec296,video-data/celebdf_v2/Celeb-real/id10_0005.mp4,real,,celebdf,mp4
CelebDF-v2,train,d1245485bb14f262,video-data/celebdf_v2/Celeb-real/id10_0006.mp4,real,,celebdf,mp4
CelebDF-v2,test,51d95a428dbc42e7,video-data/celebdf_v2/Celeb-real/id10_0007.mp4,real,,celebdf,mp4
CelebDF-v2,train,297ee1121df9fbdb,video-data/celebdf_v2/Celeb-real/id10_0008.mp4,real,,celebdf,mp4
CelebDF-v2,train,10e475059031e74e,video-data/celebdf_v2/Celeb-real/id10_0009.mp4,real,,celebdf,mp4
CelebDF-v2,train,e1c2b2ca14ed9774,video-data/celebdf_v2/Celeb-real/id11_0000.mp4,real,,celebdf,mp4
CelebDF-v2,train,226244b9e5a5ea13,video-data/celebdf_v2/Celeb-real/id11_0001.mp4,real,,celebdf,mp4
CelebDF-v2,train,ddf128cc6706f491,video-data/celebdf_v2/Celeb-real/id11_0002.mp4,real,,celebdf,mp4
CelebDF-v2,train,49434f356f74659f,video-data/celebdf_v2/Celeb-real/id11_0003.mp4,real,,celebdf,mp4
CelebDF-v2,train,7d7d72023691cf4a,video-data/celebdf_v2/Celeb-real/id11_0004.mp4,real,,celebdf,mp4
CelebDF-v2,train,461330eff34a0b9d,video-data/celebdf_v2/Celeb-real/id11_0005.mp4,real,,celebdf,mp4
